date,rainfall,temperature,humidity,wind_speed,weather_condition
2022-01-01,12.5,15.2,78.0,8.5,Rainy
2022-01-02,8.2,17.8,65.0,5.2,Rainy
2022-01-03,0.0,20.1,52.0,3.1,Sunny
2022-01-04,3.7,18.6,71.0,6.7,Rainy
2022-01-05,21.1,14.8,82.0,9.3,Rainy
2022-01-06,15.3,16.5,75.0,7.8,Rainy
2022-01-07,6.8,19.2,61.0,4.5,Rainy
2022-01-08,0.0,21.7,48.0,2.9,Sunny
2022-01-09,11.2,17.3,73.0,6.1,Rainy
2022-01-10,18.6,15.8,79.0,8.9,Rainy
2022-01-11,9.5,16.2,72.0,5.7,Rainy
2022-01-12,2.1,19.8,58.0,3.5,Rainy
2022-01-13,0.0,22.4,45.0,2.1,Sunny
2022-01-14,7.4,17.9,69.0,6.5,Rainy
2022-01-15,14.9,15.1,81.0,8.7,Rainy
2022-01-16,19.2,16.8,77.0,7.2,Rainy
2022-01-17,5.6,18.5,63.0,4.9,Rainy
2022-01-18,0.0,21.2,51.0,3.3,Sunny
2022-01-19,10.8,17.6,75.0,6.7,Rainy
2022-01-20,16.3,14.5,84.0,9.1,Rainy
2022-01-21,3.9,16.1,71.0,5.3,Rainy
2022-01-22,0.0,19.4,59.0,4.1,Sunny
2022-01-23,7.1,18.2,67.0,7.1,Rainy
2022-01-24,12.7,15.7,79.0,8.3,Rainy
2022-01-25,18.4,17.1,76.0,6.8,Rainy
2022-01-26,9.8,19.7,62.0,4.7,Rainy
2022-01-27,0.0,22.9,47.0,2.5,Sunny
2022-01-28,6.2,18.5,70.0,7.3,Rainy
2022-01-29,15.5,14.2,83.0,9.5,Rainy
2022-01-30,21.8,16.4,78.0,7.6,Rainy
2022-01-31,11.6,19.1,65.0,5.1,Rainy
2022-02-01,0.0,21.6,53.0,3.7,Sunny
2022-02-02,4.3,17.2,73.0,7.5,Rainy
2022-02-03,9.1,15.4,81.0,8.9,Rainy
2022-02-04,17.9,16.7,77.0,6.2,Rainy
2022-02-05,7.5,18.9,64.0,4.3,Rainy
2022-02-06,0.0,22.1,49.0,2.7,Sunny
2022-02-07,5.8,17.8,72.0,6.9,Rainy
2022-02-08,13.2,14.7,85.0,9.3,Rainy
2022-02-09,19.6,16.2,79.0,7.8,Rainy
2022-02-10,10.4,19.5,66.0,5.5,Rainy
2022-02-11,0.0,23.4,44.0,3.1,Sunny
2022-02-12,6.7,18.1,74.0,7.7,Rainy
2022-02-13,14.8,13.9,87.0,9.9,Rainy
2022-02-14,20.5,15.6,81.0,8.2,Rainy
2022-02-15,8.3,19.2,68.0,6.1,Rainy
2022-02-16,0.0,22.7,51.0,4.5,Sunny
2022-02-17,5.1,17.4,75.0,8.3,Rainy
2022-02-18,11.9,14.1,89.0,10.5,Rainy
2022-02-19,17.3,15.9,83.0,8.6,Rainy
2022-02-20,9.6,18.6,71.0,6.7,Rainy
2022-02-21,0.0,21.3,55.0,5.1,Sunny
2022-02-22,7.4,16.8,77.0,8.9,Rainy
